Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),OpenLag_1,OpenLag_2,OpenLag_3,OpenLag_4,OpenLag_5,HighLag_1,HighLag_2,HighLag_3,HighLag_4,HighLag_5,LowLag_1,LowLag_2,LowLag_3,LowLag_4,LowLag_5,LastLag_1,LastLag_2,LastLag_3,LastLag_4,LastLag_5,CloseLag_1,CloseLag_2,CloseLag_3,CloseLag_4,CloseLag_5,Total Trade QuantityLag_1,Total Trade QuantityLag_2,Total Trade QuantityLag_3,Total Trade QuantityLag_4,Total Trade QuantityLag_5,Turnover (Lacs)Lag_1,Turnover (Lacs)Lag_2,Turnover (Lacs)Lag_3,Turnover (Lacs)Lag_4,Turnover (Lacs)Lag_5
2017-12-22,1016.0,1044.8,1016.0,1037.85,1039.35,6453470.0,66808.39,1014.8,1005.1,1017.45,1011.9,1013.0,1028.95,1018.6,1017.95,1030.7,1026.4,998.4,1001.0,999.55,1005.8,1011.85,1021.5,1016.35,1006.65,1014.0,1019.0,1022.05,1015.85,1003.95,1016.6,1022.9,5529581.0,2093163.0,3559449.0,2017724.0,5192067.0,56123.59,21163.74,35851.74,20569.06,52918.09
2017-12-21,1014.8,1028.95,998.4,1021.5,1022.05,5529581.0,56123.59,1005.1,1017.45,1011.9,1013.0,1005.25,1018.6,1017.95,1030.7,1026.4,1015.0,1001.0,999.55,1005.8,1011.85,999.3,1016.35,1006.65,1014.0,1019.0,1012.3,1015.85,1003.95,1016.6,1022.9,1013.1,2093163.0,3559449.0,2017724.0,5192067.0,3011786.0,21163.74,35851.74,20569.06,52918.09,30429.77
2017-12-20,1005.1,1018.6,1001.0,1016.35,1015.85,2093163.0,21163.74,1017.45,1011.9,1013.0,1005.25,1010.9,1017.95,1030.7,1026.4,1015.0,1019.0,999.55,1005.8,1011.85,999.3,997.65,1006.65,1014.0,1019.0,1012.3,1005.0,1003.95,1016.6,1022.9,1013.1,1003.75,3559449.0,2017724.0,5192067.0,3011786.0,2681199.0,35851.74,20569.06,52918.09,30429.77,27094.82
2017-12-19,1017.45,1017.95,999.55,1006.65,1003.95,3559449.0,35851.74,1011.9,1013.0,1005.25,1010.9,1002.0,1030.7,1026.4,1015.0,1019.0,1014.0,1005.8,1011.85,999.3,997.65,1002.0,1014.0,1019.0,1012.3,1005.0,1010.5,1016.6,1022.9,1013.1,1003.75,1010.5,2017724.0,5192067.0,3011786.0,2681199.0,4660217.0,20569.06,52918.09,30429.77,27094.82,47040.67
2017-12-18,1011.9,1030.7,1005.8,1014.0,1016.6,2017724.0,20569.06,1013.0,1005.25,1010.9,1002.0,994.95,1026.4,1015.0,1019.0,1014.0,1006.9,1011.85,999.3,997.65,1002.0,993.95,1019.0,1012.3,1005.0,1010.5,1005.4,1022.9,1013.1,1003.75,1010.5,1005.3,5192067.0,3011786.0,2681199.0,4660217.0,2569549.0,52918.09,30429.77,27094.82,47040.67,25714.86
2017-12-15,1013.0,1026.4,1011.85,1019.0,1022.9,5192067.0,52918.09,1005.25,1010.9,1002.0,994.95,1001.0,1015.0,1019.0,1014.0,1006.9,1007.0,999.3,997.65,1002.0,993.95,995.0,1012.3,1005.0,1010.5,1005.4,999.4,1013.1,1003.75,1010.5,1005.3,1001.85,3011786.0,2681199.0,4660217.0,2569549.0,2991622.0,30429.77,27094.82,47040.67,25714.86,29983.44
2017-12-14,1005.25,1015.0,999.3,1012.3,1013.1,3011786.0,30429.77,1010.9,1002.0,994.95,1001.0,989.0,1019.0,1014.0,1006.9,1007.0,1002.9,997.65,1002.0,993.95,995.0,985.6,1005.0,1010.5,1005.4,999.4,999.85,1003.75,1010.5,1005.3,1001.85,999.8,2681199.0,4660217.0,2569549.0,2991622.0,3774772.0,27094.82,47040.67,25714.86,29983.44,37594.92
2017-12-13,1010.9,1019.0,997.65,1005.0,1003.75,2681199.0,27094.82,1002.0,994.95,1001.0,989.0,985.0,1014.0,1006.9,1007.0,1002.9,994.1,1002.0,993.95,995.0,985.6,984.0,1010.5,1005.4,999.4,999.85,987.8,1010.5,1005.3,1001.85,999.8,990.3,4660217.0,2569549.0,2991622.0,3774772.0,3745047.0,47040.67,25714.86,29983.44,37594.92,37052.51
2017-12-12,1002.0,1014.0,1002.0,1010.5,1010.5,4660217.0,47040.67,994.95,1001.0,989.0,985.0,985.35,1006.9,1007.0,1002.9,994.1,1003.0,993.95,995.0,985.6,984.0,979.0,1005.4,999.4,999.85,987.8,984.3,1005.3,1001.85,999.8,990.3,984.35,2569549.0,2991622.0,3774772.0,3745047.0,4988369.0,25714.86,29983.44,37594.92,37052.51,49430.95
2017-12-11,994.95,1006.9,993.95,1005.4,1005.3,2569549.0,25714.86,1001.0,989.0,985.0,985.35,980.0,1007.0,1002.9,994.1,1003.0,996.8,995.0,985.6,984.0,979.0,968.55,999.4,999.85,987.8,984.3,984.4,1001.85,999.8,990.3,984.35,985.35,2991622.0,3774772.0,3745047.0,4988369.0,8905803.0,29983.44,37594.92,37052.51,49430.95,87786.78
