links,news_date
http://www.thehindu.com/business/Industry/maruti-suspends-operations-at-gurgaon-manesar-plants/article8261748.ece,2016-02-20
http://www.thehindu.com/business/Industry/seven-things-to-know-before-you-book-freedom-251-the-worlds-cheapest-smartphone/article8261244.ece,2016-02-20
http://www.thehindu.com/business/Industry/christine-lagarde-appointed-for-second-term-as-imf-chief/article8261142.ece,2016-02-20
http://www.thehindu.com/business/markets/bullion-gold-weakens-on-muted-demand-global-cues/article8261261.ece,2016-02-20
http://www.thehindu.com/business/govt-to-tap-cscs-for-rural-banking-access/article8262007.ece,2016-02-21
http://www.thehindu.com/business/budget/quality-of-govt-capex-much-better-watal/article8264703.ece,2016-02-21
http://www.thehindu.com/business/budget/startups-will-need-more-tax-exemptions-incentives-to-flourish/article8264704.ece,2016-02-21
http://www.thehindu.com/business/budget/adequacy-of-foreign-exchange-reserves-and-currency-turmoil/article8264682.ece,2016-02-21
http://www.thehindu.com/business/budget/can-union-budget-turbocharge-startups/article8264683.ece,2016-02-21
http://www.thehindu.com/business/budget/govt-may-penalise-higher-pf-savings/article8264684.ece,2016-02-21
http://www.thehindu.com/business/budget/exempt-airlines-from-mat/article8264685.ece,2016-02-21
http://www.thehindu.com/business/Economy/india-studying-impact-of-market-economy-status-for-china/article8264686.ece,2016-02-21
http://www.thehindu.com/business/Economy/GST-can-be-a-game-changer/article14106818.ece,2016-02-21
http://www.thehindu.com/business/Economy/experts-want-body-to-oversee-budget/article8262005.ece,2016-02-21
http://www.thehindu.com/business/Industry/usibc-working-hard-to-protect-indias-ipr-status/article8264688.ece,2016-02-21
http://www.thehindu.com/business/Industry/icra-may-revise-ratings-of-governmentowned-banks/article8261934.ece,2016-02-21
http://www.thehindu.com/business/Industry/cpf-to-add-150-readytoeat-chicken-outlets-by-end-2016/article8261939.ece,2016-02-21
http://www.thehindu.com/business/Industry/perkinelmer-scouts-for-acquisitions/article8261938.ece,2016-02-21
http://www.thehindu.com/business/Industry/high-court-asks-duncan-group-to-deposit-rs4-cr-for-workers-dues/article8261935.ece,2016-02-21
http://www.thehindu.com/business/Industry/banks-require-holistic-cure/article8262010.ece,2016-02-21
